Student,Assignment1,Assignment2,Assignment3,Assignment4,Assignment5,Assignment6,Assignment7,Assignment8,Assignment9,Lab1,Lab2,Lab3,Lab4,Lab5,Lab6
#0001,4.88,10.25,13.76,15.22,8.86,13.39,0,11.56,7.41,9,9.333333333,8.8,5.95,8,9.266666667
#0002,3.75,10.9,10.92,16.57,21.34,18.32,15.37,25.41,6.58,8,9.666666667,9.066666667,9,10,8.6
#0003,11.07,24.61,21.99,46.55,0,18.16,29.17,7.63,18.56,10,8.766666667,7.166666667,8.8,6,8.6
#0004,0,0,0,0,0,0,0,19.92,0,9.8,8.916666667,8,7.8,0,9.8
#0005,11.02,32.25,29.56,45.48,27.37,16.34,28.33,57.91,16.49,8.8,8.6,9.066666667,8.666666667,7,7
#0006,10.98,36.64,34.07,50.01,26.85,16.77,7.4,16.9,13.26,10,8.6,8.4,7,7,7.6
#0007,11.33,20.33,15.87,14.62,8.67,4.99,13.33,24.05,5.57,8,10,7.866666667,7,7,7.8
#0008,11.77,38.69,33.29,52.02,27.36,16.1,0,0,0,9,10,9.166666667,8.8,6.5,6.2
#0009,11.53,9.74,34.25,14.14,9.15,5.82,5.92,1.65,2,6.57,9.3,9.8,5.85,6,8.6
#0010,10.83,38.51,15.25,13.74,8.95,5.52,12.89,24.84,5.97,9,9.6,7.433333333,7.5,9,8.8
#0011,4.33,10.45,10.82,13.99,8.88,4.63,12.6,24.44,5.47,8.8,10,9.8,5.35,4,8.6
#0012,11.85,38.89,36.56,52.8,32.37,18.72,44.11,27.33,18.83,10,9.15,8.6,8.5,9,9.55
#0013,10.87,15.1,18.11,23,13.68,15.97,9.72,30.84,7.87,10,9.666666667,9.2,8.6,9,9.666666667
#0014,10.26,0,0,11.71,8.63,8.21,9.21,0,0,10,9.5,8.466666667,6.716666667,7,8.75
#0015,11.54,38.71,36.15,16.52,10.89,6.03,0,3.95,1.62,9.5,9.1,8.133333333,7.5,9,8.6
#0016,0,0,0,34.04,0,16.98,14.72,17.5,0,7,9.05,8.833333333,8.4,7,10
#0017,4.33,14.95,10.97,14,9.89,8.2,15.05,25.53,7.44,8.666666667,9,7.366666667,8.6,7,8.6
#0018,11.25,32.11,32.23,48.05,14.99,18.35,0,.82,.82,9,6.6,9.6,7.8,8,9.6
#0019,0,0,0,0,0,0,0,0,0,7,10,8.233333333,7.8,9,10
#0020,9.72,30.67,30.17,14.76,8.2,4.55,17.47,0,7.14,9,10,9,7.8,7,8.35
#0021,11.24,35.32,33,50.25,21.14,17.04,12.15,6.15,7.98,8.8,9.857142857,8,8.8,4,7.8
#0022,5.54,9.8,11.51,13.9,8.81,8.03,7.06,17.3,5.25,7.8,9.4,8.1,7.466666667,9,6.6
